workclass:Private, Precision:0.76, Recall:0.63, Fbeta:0.69
workclass:State-gov, Precision:0.66, Recall:0.65, Fbeta:0.66
workclass:Federal-gov, Precision:0.76, Recall:0.61, Fbeta:0.68
workclass:Self-emp-inc, Precision:0.69, Recall:0.80, Fbeta:0.74
workclass:Local-gov, Precision:0.75, Recall:0.65, Fbeta:0.70
workclass:Self-emp-not-inc, Precision:0.74, Recall:0.47, Fbeta:0.58
workclass:Without-pay, Precision:1.00, Recall:1.00, Fbeta:1.00
education:HS-grad, Precision:0.60, Recall:0.38, Fbeta:0.46
education:11th, Precision:0.83, Recall:0.36, Fbeta:0.50
education:Some-college, Precision:0.73, Recall:0.56, Fbeta:0.63
education:Bachelors, Precision:0.76, Recall:0.78, Fbeta:0.77
education:Assoc-voc, Precision:0.73, Recall:0.52, Fbeta:0.60
education:Prof-school, Precision:0.87, Recall:0.92, Fbeta:0.89
education:12th, Precision:1.00, Recall:0.33, Fbeta:0.50
education:5th-6th, Precision:1.00, Recall:1.00, Fbeta:1.00
education:7th-8th, Precision:0.50, Recall:0.14, Fbeta:0.22
education:Doctorate, Precision:0.81, Recall:0.89, Fbeta:0.85
education:9th, Precision:1.00, Recall:0.12, Fbeta:0.22
education:Assoc-acdm, Precision:0.72, Recall:0.52, Fbeta:0.61
education:Masters, Precision:0.81, Recall:0.80, Fbeta:0.81
education:10th, Precision:0.60, Recall:0.25, Fbeta:0.35
education:1st-4th, Precision:1.00, Recall:0.00, Fbeta:0.00
education:Preschool, Precision:1.00, Recall:1.00, Fbeta:1.00
marital-status:Never-married, Precision:0.75, Recall:0.41, Fbeta:0.53
marital-status:Married-civ-spouse, Precision:0.74, Recall:0.67, Fbeta:0.70
marital-status:Widowed, Precision:0.80, Recall:0.25, Fbeta:0.38
marital-status:Married-spouse-absent, Precision:1.00, Recall:0.00, Fbeta:0.00
marital-status:Divorced, Precision:0.80, Recall:0.41, Fbeta:0.54
marital-status:Separated, Precision:0.80, Recall:0.44, Fbeta:0.57
marital-status:Married-AF-spouse, Precision:1.00, Recall:1.00, Fbeta:1.00
occupation:Adm-clerical, Precision:0.68, Recall:0.55, Fbeta:0.61
occupation:Handlers-cleaners, Precision:1.00, Recall:0.33, Fbeta:0.50
occupation:Other-service, Precision:0.80, Recall:0.21, Fbeta:0.33
occupation:Transport-moving, Precision:0.70, Recall:0.28, Fbeta:0.40
occupation:Craft-repair, Precision:0.68, Recall:0.45, Fbeta:0.54
occupation:Prof-specialty, Precision:0.77, Recall:0.81, Fbeta:0.79
occupation:Exec-managerial, Precision:0.79, Recall:0.76, Fbeta:0.78
occupation:Sales, Precision:0.69, Recall:0.61, Fbeta:0.65
occupation:Machine-op-inspct, Precision:0.55, Recall:0.24, Fbeta:0.34
